question
"Колготки, носки, получулки, чулки 1-го слоя и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 3 лет и подростков"
"Свитеры, джемперы, жакеты, юбки, брюки, костюмы, рейтузы, полукомбинезоны, комбинезоны, шорты, платья, комплекты, блузки, сорочки верхние, жилеты и аналогичные изделия, заявленные изготовителем как предназначенные для детей и подростков"
"Сапоги, сапожки, полусапожки, ботинки, полуботинки, туфли, сандалеты и другие виды обуви из юфти, хромовых кож, текстильных синтетических и искусственных материалов, резиновые, резинотекстильные и комбинированные, заявленные изготовителем как предназначенные для детей и подростков"
"Велосипеды с высотой седла от 435 мм до 635 мм для детей дошкольного возраста, транспортные велосипеды с регулировкой седла на высоту 635 мм и более для младших школьников и подростков"
Галантерейные изделия детские из пластмасс
"Платья, халаты, фартуки, блузки, верхние сорочки, свитеры, джемперы, шорты, изделия без подкладки и изделия, в которых подкладка занимает менее 40 процентов площади верха изделия (костюмы, брюки, юбки, пиджаки, жакеты, жилеты, сарафаны, полукомбинезоны, комбинезоны), и аналогичные изделия, заявленные изготовителем как предназначенные для детей и подростков"
"Пижамы, кальсоны, панталоны, фуфайки, комбинации, купальные изделия, трусы, майки и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 3 лет и подростков"
"Посуда и столовые приборы (чашки, блюдца, поильники, тарелки, миски, ложки, вилки, ножи, бутылочки и другие аналогичные изделия детские для пищевых продуктов) из пластмассы, стекла, металла, посуда керамическая (фаянсовая, стеклокерамическая, гончарная и майоликовая), посуда одноразовая (из бумаги, картона и пластмассы), заявленные изготовителем как предназначенные для детей старше 3 лет и подростков"
"Одеяла, шарфы, платки носовые и головные, полотенца, простыни купальные и аналогичные изделия, заявленные изготовителем как предназначенные для детей и подростков"
"Перчатки, варежки, платки, шарфы и аналогичные изделия, заявленные изготовителем как предназначенные для детей и подростков"
"Купальные изделия, изделия бельевые (белье нательное, пижамы и корсетные изделия) и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 3 лет и подростков"
"Белье постельное и аналогичные изделия, заявленные изготовителем как предназначенные для детей и подростков"
"Изделия на подкладке или без подкладки (пальто, полупальто, плащи, куртки, конверты для новорожденных), изделия на подкладке, в которых подкладка занимает не менее 40 процентов площади верха изделия (костюмы, комбинезоны, полукомбинезоны), и аналогичные изделия, заявленные изготовителем как предназначенные для детей до 1 года"
"Пальто, куртки и аналогичные изделия, заявленные изготовителем как предназначенные для детей до 1 года"
"изделия из пластмасс (ванночка, горшок туалетный и другие изделия для выполнения туалета) для ухода за детьми"
"Головные уборы 2-го слоя, заявленные изготовителем как предназначенные для детей до 1 года"
"Изделия на подкладке или без подкладки (пальто, полупальто, плащи, куртки), изделия на подкладке, в которых подкладка занимает не менее 40 процентов площади верха изделия (костюмы, пиджаки, жакеты, жилеты, брюки, юбки, сарафаны, полукомбинезоны, комбинезоны), и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 1 года и подростков"
"Головные уборы 2-го слоя и аналогичные изделия, заявленные изготовителем как предназначенные для детей до 1 года"
Галантерейные изделия детские из металла
"Коляски детские, комплектующие узлы и детали к ним"
"Головные уборы (летние) 1-го слоя, заявленные изготовителем как предназначенные для детей старше 3 лет и подростков"
"Головные уборы (летние) 1-го слоя и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 3 лет и подростков"
"Фартуки, платья, сарафаны, сорочки верхние, блузки, шорты, изделия без подкладки (костюмы, пиджаки, жакеты, жилеты, брюки, юбки) и аналогичные изделия, заявленные изготовителем как предназначенные для детей и подростков"
"Головные уборы 2-го слоя, заявленные изготовителем как предназначенные для детей старше 1 года и подростков"
"Головные уборы 2-го слоя и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 1 года и подростков"
"Изделия из пластмасс (ванночка, горшок туалетный, стульчик и другие изделия для выполнения туалета) для ухода за детьми"
"Изделия на подкладке или без подкладки (пальто, полупальто, плащи, куртки, комбинезоны, полукомбинезоны), костюмы на подкладке, конверты для новорожденных и аналогичные изделия, заявленные изготовителем как предназначенные для детей до 1 года"
"Изделия на подкладке или без подкладки (пальто, полупальто, плащи, куртки, комбинезоны, полукомбинезоны), изделия на подкладке (костюмы, пиджаки, жакеты, жилеты, брюки, юбки) и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 1 года и подростков"
"Одеяла, подушки, постельные принадлежности и аналогичные изделия, заявленные изготовителем как предназначенные для детей и подростков"
"Одеяла, платки носовые и головные, полотенца и аналогичные изделия, заявленные изготовителем как предназначенные для детей и подростков"
"Посуда и столовые приборы (чашки, блюдца, поильники, тарелки, миски, ложки, вилки, ножи, бутылочки и другие аналогичные изделия детские для пищевых продуктов) из пластмассы, стекла, металла, посуда керамическая (фаянсовая, стеклокерамическая, гончарная и майоликовая), посуда одноразовая (из бумаги, картона и пластмассы) для детей старше 3 лет и подростков"
"Носки, получулки 2-го слоя и аналогичные изделия, заявленные изготовителем как предназначенные для детей и подростков"
"Пальто, куртки и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 1 года и подростков"
"Постельные принадлежности (одеяла стеганые, подушки, наматрасники, балдахины, валики, мягкие стенки и другие аналогичные изделия), заявленные изготовителем как предназначенные для детей и подростков"
"Пальто, полупальто, куртки, пиджаки, жакеты, жилеты, мешки спальные, воротники, манжеты, отделки, перчатки, рукавицы, носки, чулки, головные уборы и аналогичные изделия, заявленные изготовителем как предназначенные для детей старше 1 года и подростков"
"Пальто, полупальто, куртки, пиджаки, жакеты, жилеты, мешки спальные, конверты для новорожденных, воротники, манжеты, отделки, перчатки, рукавицы, носки, чулки, головные уборы и аналогичные изделия, заявленные изготовителем как предназначенные для детей до 1 года"
"Портфели, ранцы ученические, рюкзаки, сумки для детей дошкольного и школьного возраста, перчатки, рукавицы, ремни поясные и изделия мелкой кожгалантереи, заявленные изготовителем как предназначенные для детей и подростков"
Изделия из резины формовые или неформовые для ухода за детьми
"Лампы электрические компактные люминесцентные, светодиодные"
"Канцелярские товары (ручки, маркеры, линейки, карандаши, резинки канцелярские, тетради, дневники, кисти и другие аналогичные изделия), заявленные изготовителем как предназначенные для детей и подростков"
Игрушки прочие
Обувь валяная грубошерстная для детей и подростков
"Посуда и столовые приборы (чашки, блюдца, поильники, тарелки, миски, ложки, вилки, ножи, бутылочки и другие аналогичные изделия детские для пищевых продуктов) из пластмассы, стекла, металла, посуда керамическая (фаянсовая, стеклокерамическая, гончарная и майоликовая), посуда одноразовая (из бумаги, картона и пластмассы), заявленные изготовителем как предназначенные для детей до 3 лет"
"Куклы, изображающие только людей, их части и принадлежности"
"Технические средства, не включенные в Перечень продукции, подлежащей сертификации к ТР ТС 020/2011"
Игрушки в наборах или комплектах прочие
"Детская литература, журналы и продолжающиеся издания детские"
